SKU,Brand,Category,Gender,Diameter,Atm,Case_Size,Case_Material,Case_Color,Dial_Color,Strap_Material,Strap_Color,Regular_Price
watch_594,atimait,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Black,Black,Leather,Black,1599.0
watch_595,atimait,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Silver,Blue,Silicone,Black,1299.0
watch_596,atimait,Watch,Male,42.0,5.0,Medium,Stainless Steel,Gold,Brown,Leather,Brown,640.0
watch_597,atimait,Watch,Male,42.0,5.0,Medium,Stainless Steel,Silver,Black,Leather,Black,640.0
watch_598,atimait,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Gold,Brown,Metal Bracelet,Two Tone,640.0
watch_599,genskne,Smartwatch,Unisex,42.0,3.0,Medium,Stainless Steel,Silver,White,Metal Bracelet,Silver,1369.0
watch_600,genskne,Smartwatch,Unisex,42.0,3.0,Medium,Stainless Steel,Silver,Silver,Leather,Black,1369.0
watch_601,genskne,Smartwatch,Unisex,42.0,3.0,Medium,Stainless Steel,Rose Gold,Blue,Leather,Brown,1369.0
watch_602,genskne,Smartwatch,Unisex,42.0,3.0,Medium,Titanium,Silver,Black,Leather,Brown,1390.0
watch_603,genskne,Smartwatch,Unisex,42.0,3.0,Medium,Stainless Steel,Blue,White,Metal Bracelet,Gold,650.0
watch_604,genskne,Smartwatch,Unisex,42.0,3.0,Medium,Stainless Steel,Black,White,Metal Bracelet,Gold,2550.0
watch_605,genskne,Smartwatch,Unisex,42.0,3.0,Medium,Stainless Steel,Silver,Blue,Leather,Gold,699.0
watch_606,genskne,Smartwatch,Unisex,41.0,3.0,Medium,Stainless Steel,Silver,Blue,Leather,Brown,1369.0
watch_607,genskne,Smartwatch,Unisex,41.0,3.0,Medium,Titanium,Black,Black,Leather,Black,1750.0
watch_608,genskne,Smartwatch,Unisex,40.0,3.0,Medium,Stainless Steel,Silver,White,Leather,Black,849.0
watch_609,genskne,Smartwatch,Unisex,40.0,3.0,Medium,Stainless Steel,Gold,White,Leather,Brown,999.0
watch_610,genskne,Smartwatch,Unisex,40.0,3.0,Medium,Stainless Steel,Black,Black,Leather,Black,215.0
watch_611,genskne,Watch,Female,30.0,5.0,Small,Stainless Steel,Rose Gold,White,Metal Bracelet,Silver,215.0
watch_612,genskne,Watch,Female,32.0,3.0,Small,Stainless Steel,Silver,White,Metal Bracelet,Silver,999.0
watch_613,genskne,Watch,Female,32.0,3.0,Small,Stainless Steel,Gold,White,Metal Bracelet,Silver,640.0
watch_614,genskne,Watch,Female,38.0,3.0,Medium,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,1290.0
watch_615,genskne,Watch,Female,38.0,3.0,Medium,Stainless Steel,Gold,Silver,Metal Bracelet,Gold,1149.0
watch_616,genskne,Watch,Female,38.0,3.0,Medium,Stainless Steel,Rose Gold,Silver,Metal Bracelet,Rose Gold,1290.0
watch_617,genskne,Watch,Female,30.0,3.0,Small,Stainless Steel,Gold,Gold,Leather,Brown,580.0
watch_618,genskne,Watch,Female,30.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,470.0
watch_619,genskne,Watch,Female,30.0,3.0,Small,Stainless Steel,Gold,Silver,Metal Bracelet,Gold,1290.0
watch_620,genskne,Watch,Female,30.0,3.0,Small,Stainless Steel,Rose Gold,Silver,Metal Bracelet,Rose Gold,580.0
watch_621,genskne,Watch,Female,22.0,3.0,Small,Stainless Steel,Gold,Gold,Leather,Brown,580.0
watch_622,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Silver,Silver,Leather,Brown,1369.0
watch_623,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,510.0
watch_624,genskne,Watch,Female,36.0,3.0,Medium,Stainless Steel,Silver,White,Leather,Brown,1150.0
watch_625,genskne,Watch,Female,36.0,3.0,Medium,Stainless Steel,Rose Gold,Black,Leather,Black,990.0
watch_626,genskne,Watch,Female,30.0,3.0,Small,Stainless Steel,Rose Gold,Black,Leather,Black,640.0
watch_627,genskne,Watch,Female,36.0,3.0,Medium,Stainless Steel,Gold,Black,Leather,Black,999.0
watch_628,genskne,Watch,Female,38.0,3.0,Medium,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,874.0
watch_629,genskne,Watch,Female,30.0,3.0,Small,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,255.0
watch_630,genskne,Watch,Female,30.0,3.0,Small,Stainless Steel,Gold,Silver,Metal Bracelet,Silver,235.0
watch_631,genskne,Watch,Female,34.0,5.0,Small,Stainless Steel,Rose Gold,Black,Leather,Black,215.0
watch_632,genskne,Watch,Female,34.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,979.0
watch_633,genskne,Watch,Female,34.0,3.0,Small,Stainless Steel,Rose Gold,Black,Metal Bracelet,Black,909.0
watch_634,genskne,Watch,Female,34.0,5.0,Small,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,979.0
watch_635,genskne,Watch,Female,34.0,5.0,Small,Stainless Steel,Rose Gold,White,Leather,Brown,595.0
watch_636,genskne,Watch,Female,30.0,5.0,Small,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,699.0
watch_637,genskne,Watch,Female,34.0,5.0,Small,Stainless Steel,Silver,Silver,Leather,Black,669.0
watch_638,genskne,Watch,Female,34.0,5.0,Small,Stainless Steel,Silver,Blue,Leather,Brown,745.0
watch_639,genskne,Watch,Female,30.0,5.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,669.0
watch_640,genskne,Watch,Female,38.0,3.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,699.0
watch_641,genskne,Watch,Female,34.0,5.0,Small,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,290.0
watch_642,genskne,Watch,Female,38.0,3.0,Medium,Stainless Steel,Rose Gold,White,Metal Bracelet,Silver,538.0
watch_643,genskne,Watch,Female,30.0,5.0,Small,Stainless Steel,Silver,Blue,Leather,Brown,699.0
watch_644,genskne,Watch,Female,30.0,5.0,Small,Stainless Steel,Gold,White,Leather,Blue,545.0
watch_645,genskne,Watch,Female,36.0,5.0,Medium,Stainless Steel,Rose Gold,White,Leather,Brown,769.0
watch_646,genskne,Watch,Female,36.0,5.0,Medium,Stainless Steel,Gold,White,Leather,Black,499.0
watch_647,genskne,Watch,Male,40.0,5.0,Medium,Titanium,Black,Black,Metal Bracelet,Black,594.0
watch_648,genskne,Watch,Male,40.0,5.0,Medium,Titanium,Black,Black,Metal Bracelet,Black,240.0
watch_649,genskne,Watch,Male,42.0,5.0,Medium,Stainless Steel,Silver,Black,Leather,Black,645.0
watch_650,genskne,Watch,Male,42.0,5.0,Medium,Titanium,Black,Black,Metal Bracelet,Black,290.0
watch_651,genskne,Watch,Male,40.0,5.0,Medium,Titanium,Black,Black,Metal Bracelet,Black,849.0
watch_652,genskne,Watch,Male,40.0,3.0,Medium,Stainless Steel,Silver,White,Leather,Brown,1299.0
watch_653,genskne,Watch,Male,42.0,5.0,Medium,Stainless Steel,Silver,Black,Leather,Brown,290.0
watch_654,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Silver,Black,Leather,Brown,330.0
watch_655,genskne,Watch,Male,40.0,3.0,Medium,Stainless Steel,Silver,Black,Leather,Brown,260.0
watch_656,genskne,Watch,Male,40.0,3.0,Medium,Stainless Steel,Silver,Black,Leather,Black,290.0
watch_657,genskne,Watch,Male,40.0,3.0,Medium,Stainless Steel,Silver,Blue,Leather,Black,419.0
watch_658,genskne,Watch,Male,40.0,3.0,Medium,Stainless Steel,Black,Black,Leather,Brown,1699.0
watch_659,genskne,Watch,Male,41.0,3.0,Medium,Stainless Steel,Black,Blue,Leather,Brown,999.0
watch_660,genskne,Watch,Male,40.0,3.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,1245.0
watch_661,genskne,Watch,Male,40.0,10.0,Medium,Stainless Steel,Black,Black,Metal Bracelet,Black,1099.0
watch_662,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,640.0
watch_663,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Silver,Black,Leather,Brown,1199.0
watch_664,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Black,Black,Leather,Brown,699.0
watch_665,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Silver,Blue,Leather,Brown,699.0
watch_666,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Silver,White,Leather,Brown,799.0
watch_667,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,999.0
watch_668,genskne,Watch,Male,40.0,3.0,Medium,Stainless Steel,Silver,White,Leather,Brown,669.0
watch_669,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Rose Gold,Black,Metal Bracelet,Black,640.0
watch_670,genskne,Watch,Male,40.0,5.0,Medium,Titanium,Silver,Black,Leather,Brown,460.0
watch_671,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Blue,White,Metal Bracelet,Blue,899.0
watch_672,genskne,Watch,Male,41.0,5.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,1369.0
watch_673,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Rose Gold,White,Leather,Black,510.0
watch_674,genskne,Watch,Male,40.0,5.0,Medium,Stainless Steel,Black,Black,Leather,Black,580.0
watch_675,genskne,Watch,Male,42.0,3.0,Medium,Titanium,Black,Blue,Metal Bracelet,Black,640.0
watch_676,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Silver,Black,Silicone,Black,1599.0
watch_677,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Rose Gold,Blue,Silicone,Blue,640.0
watch_678,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Black,Black,Silicone,Black,510.0
watch_679,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Rose Gold,Black,Silicone,Black,1849.0
watch_680,eeltwle,Watch,Male,48.0,10.0,X-Large,Titanium,Black,Black,Silicone,Black,460.0
watch_681,eeltwle,Watch,Female,40.0,10.0,Medium,Stainless Steel,Black,Black,Metal Bracelet,Two Tone,650.0
watch_682,eeltwle,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Black,Metal Bracelet,Two Tone,1669.0
watch_683,eeltwle,Watch,Female,45.0,10.0,Large,Stainless Steel,Silver,Rose Gold,Silicone,Rose Gold,650.0
watch_684,eeltwle,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Black,Silicone,Black,1349.0
watch_685,eeltwle,Watch,Male,48.0,5.0,X-Large,Stainless Steel,Black,Black,Silicone,Black,999.0
watch_686,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Black,Black,Silicone,Black,999.0
watch_687,eeltwle,Watch,Male,45.0,5.0,Large,Stainless Steel,Silver,Black,Silicone,Black,950.0
watch_688,eeltwle,Watch,Male,48.0,5.0,X-Large,Stainless Steel,Silver,Black,Silicone,Black,1499.0
watch_689,rditrid,Watch,Male,44.0,5.0,Large,Stainless Steel,Silver,Beige,Leather,Brown,1499.0
watch_690,rditrid,Watch,Male,44.0,5.0,Large,Stainless Steel,Silver,Black,Leather,Black,1250.0
watch_691,rditrid,Watch,Male,44.0,5.0,Large,Stainless Steel,Gold,Blue,Leather,Brown,510.0
watch_692,rditrid,Watch,Male,44.0,5.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,999.0
watch_693,rditrid,Watch,Male,40.0,5.0,Medium,Stainless Steel,Rose Gold,Blue,Leather,Blue,2399.0
watch_694,rditrid,Watch,Male,40.0,5.0,Medium,Stainless Steel,Silver,Silver,Leather,Black,999.0
watch_695,rditrid,Watch,Male,40.0,5.0,Medium,Stainless Steel,Silver,Black,Leather,Brown,470.0
watch_696,rditrid,Watch,Male,40.0,5.0,Medium,Stainless Steel,Silver,Beige,Leather,Brown,470.0
watch_697,rditrid,Watch,Male,51.0,5.0,X-Large,Stainless Steel,Silver,Blue,Leather,Brown,1499.0
watch_698,rditrid,Watch,Male,51.0,5.0,X-Large,Stainless Steel,Black,Black,Metal Bracelet,Black,160.0
watch_699,rditrid,Watch,Male,51.0,5.0,X-Large,Stainless Steel,Rose Gold,Silver,Leather,Brown,250.0
watch_700,rditrid,Watch,Male,48.0,5.0,X-Large,Stainless Steel,Gold,Silver,Leather,Brown,725.0
watch_701,rditrid,Watch,Male,48.0,5.0,X-Large,Stainless Steel,Silver,Silver,Leather,Black,815.0
watch_702,rditrid,Watch,Male,44.0,5.0,Large,Stainless Steel,Black,Blue,Metal Bracelet,Black,250.0
watch_703,rditrid,Watch,Male,47.0,5.0,X-Large,Stainless Steel,Gold,Silver,Leather,Black,260.0
watch_704,rditrid,Watch,Female,34.0,5.0,Small,Stainless Steel,Gold,Silver,Leather,Red,408.0
watch_705,rditrid,Watch,Female,34.0,5.0,Small,Stainless Steel,Rose Gold,Black,Leather,Black,250.0
watch_706,rditrid,Watch,Female,34.0,5.0,Small,Stainless Steel,Rose Gold,Silver,Metal Bracelet,Rose Gold,468.0
watch_707,rditrid,Watch,Female,34.0,5.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,751.0
watch_708,rditrid,Watch,Female,42.0,3.0,Medium,Stainless Steel,Gold,Black,Leather,Black,639.0
watch_709,rditrid,Watch,Female,42.0,3.0,Medium,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,180.0
watch_710,rditrid,Watch,Female,42.0,3.0,Medium,Stainless Steel,Gold,Silver,Metal Bracelet,Gold,170.0
watch_711,rditrid,Watch,Female,42.0,3.0,Medium,Stainless Steel,Gold,Brown,Leather,Brown,170.0
watch_712,rditrid,Watch,Female,42.0,3.0,Medium,Stainless Steel,Silver,Blue,Leather,Blue,382.0
watch_713,rditrid,Watch,Female,25.0,3.0,Small,Stainless Steel,Silver,Black,Leather,Black,140.0
watch_714,rditrid,Watch,Female,33.0,5.0,Small,Stainless Steel,Rose Gold,Blue,Metal Bracelet,Rose Gold,725.0
watch_715,rditrid,Watch,Female,33.0,5.0,Small,Stainless Steel,Gold,White,Metal Bracelet,Two Tone,665.0
watch_716,knydkyn,Watch,Female,34.0,5.0,Small,Stainless Steel,Rose Gold,Silver,Metal Bracelet,Two Tone,665.0
watch_717,orsmisr,Watch,Female,36.0,5.0,Medium,Stainless Steel,Silver,Silver,Metal Bracelet,Two Tone,220.0
watch_718,orsmisr,Watch,Female,39.0,10.0,Medium,Stainless Steel,Rose Gold,White,Metal Bracelet,Two Tone,536.0
watch_719,orsmisr,Watch,Female,39.0,5.0,Medium,Stainless Steel,Gold,Blue,Metal Bracelet,Gold,682.0
watch_720,orsmisr,Watch,Female,39.0,5.0,Medium,Stainless Steel,Brown,Brown,Metal Bracelet,Brown,250.0
watch_721,orsmisr,Watch,Female,39.0,5.0,Medium,Stainless Steel,Gold,Rose Gold,Metal Bracelet,Two Tone,250.0
watch_722,orsmisr,Watch,Female,38.0,10.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,260.0
watch_723,orsmisr,Watch,Female,38.0,10.0,Medium,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,382.0
watch_724,knydkyn,Watch,Female,34.0,5.0,Small,Stainless Steel,Rose Gold,White,Metal Bracelet,Rose Gold,725.0
watch_725,knydkyn,Watch,Female,34.0,5.0,Small,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,725.0
watch_726,knydkyn,Watch,Female,34.0,5.0,Small,Stainless Steel,Silver,Silver,Leather,Silver,210.0
watch_727,knydkyn,Watch,Female,24.0,3.0,Small,Stainless Steel,Silver,Black,Metal Bracelet,Silver,210.0
watch_728,silfoli,Watch,Male,44.0,5.0,Large,Stainless Steel,Silver,Clear,Leather,Black,270.0
watch_729,aniemin,Watch,Female,32.0,1.0,Small,Stainless Steel,Mother Of Pearl,Mother Of Pearl,Leather,Brown,250.0
watch_730,orsmisr,Watch,Female,33.0,5.0,Small,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,622.0
watch_731,atimait,Watch,Male,44.0,5.0,Large,Stainless Steel,Silver,Blue,Silicone,Black,837.0
watch_732,addkndd,Watch,Male,38.0,5.0,Medium,Stainless Steel,Gold,White,Leather,Brown,837.0
watch_733,addkndd,Watch,Male,38.0,5.0,Medium,Stainless Steel,Gold,Black,Leather,Black,837.0
watch_734,addkndd,Watch,Male,38.0,5.0,Medium,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,1154.0
watch_735,addkndd,Watch,Male,38.0,5.0,Medium,Stainless Steel,Silver,White,Leather,Brown,1154.0
watch_736,addkndd,Watch,Female,35.0,3.0,Small,Stainless Steel,Gold,White,Leather,Brown,1154.0
watch_737,addkndd,Watch,Female,35.0,3.0,Small,Stainless Steel,Gold,White,Leather,White,1068.0
watch_738,addkndd,Watch,Female,35.0,5.0,Small,Stainless Steel,Silver,White,Leather,Brown,1068.0
watch_739,addkndd,Watch,Female,35.0,3.0,Small,Stainless Steel,Silver,White,Leather,White,1068.0
watch_740,addkndd,Watch,Female,35.0,3.0,Small,Stainless Steel,Silver,White,Metal Bracelet,Silver,686.0
watch_741,addkndd,Watch,Female,35.0,3.0,Small,Stainless Steel,Gold,White,Metal Bracelet,Gold,622.0
watch_742,addkndd,Watch,Female,35.0,5.0,Small,Stainless Steel,Rose Gold,White,Metal Bracelet,Rose Gold,250.0
watch_743,addkndd,Watch,Female,35.0,5.0,Small,Stainless Steel,Rose Gold,White,Leather,White,1111.0
watch_744,addkndd,Watch,Unisex,38.0,10.0,Medium,Stainless Steel,Silver,Black,Leather,Black,1111.0
watch_745,addkndd,Watch,Unisex,38.0,5.0,Medium,Stainless Steel,Silver,White,Leather,Brown,1025.0
watch_746,addkndd,Watch,Unisex,38.0,5.0,Medium,Stainless Steel,Black,Black,Leather,Black,1025.0
watch_747,silfoli,Watch,Female,40.0,10.0,Medium,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,965.0
watch_748,aniemin,Watch,Female,32.0,5.0,Small,Stainless Steel,Silver,Mother of pearl,Leather,Blue,965.0
watch_749,aniemin,Watch,Female,32.0,3.0,Small,Stainless Steel,Silver,Mother of pearl,Leather,Blue,725.0
watch_750,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Silver,Leather,Brown,260.0
watch_751,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Rose Gold,Black,Silicone,Black,260.0
watch_752,aniemin,Watch,Male,42.0,3.0,Medium,Ceramic,Black,Black,Ceramic,Black,240.0
watch_753,aniemin,Watch,Male,43.0,3.0,Large,Stainless Steel,Silver,Black,Leather,Black,1025.0
watch_754,aniemin,Watch,Male,41.0,5.0,Medium,Stainless Steel,Silver,Blue,Leather,Blue,425.0
watch_755,aniemin,Watch,Male,41.0,5.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,180.0
watch_756,aniemin,Watch,Male,46.0,5.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,725.0
watch_757,aniemin,Watch,Male,46.0,5.0,Large,Stainless Steel,Black,Black,Metal Bracelet,Black,270.0
watch_758,aniemin,Watch,Male,46.0,5.0,Large,Stainless Steel,Black,Black,Leather,Brown,768.0
watch_759,aniemin,Watch,Female,32.0,3.0,Small,Stainless Steel,Silver,White,Metal Bracelet,Silver,768.0
watch_760,aniemin,Watch,Female,32.0,3.0,Small,Stainless Steel,Rose Gold,Two Tone,Metal Bracelet,Two Tone,1025.0
watch_761,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,1094.0
watch_762,aniemin,Watch,Male,46.0,5.0,Large,Stainless Steel,Black,Blue,Metal Bracelet,Black,596.0
watch_763,aniemin,Watch,Female,32.0,3.0,Small,Stainless Steel,Silver,Blue,Leather,Blue,240.0
watch_764,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Black,Leather,Brown,250.0
watch_765,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Black,Leather,Black,250.0
watch_766,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Brown,Leather,Brown,250.0
watch_767,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Champagne,Leather,Brown,296.0
watch_768,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,296.0
watch_769,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Black,Leather,Black,296.0
watch_770,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,682.0
watch_771,aniemin,Watch,Male,46.0,5.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,270.0
watch_772,aniemin,Watch,Male,43.0,3.0,Large,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,999.0
watch_773,aniemin,Watch,Male,42.0,5.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,1369.0
watch_774,aniemin,Watch,Male,46.0,5.0,Large,Stainless Steel,Silver,Blue,Leather,Blue,1197.0
watch_775,aniemin,Watch,Female,32.0,3.0,Small,Stainless Steel,Silver,Multicolor,Metal Bracelet,Two Tone,1798.0
watch_776,aniemin,Watch,Female,32.0,3.0,Small,Stainless Steel,Silver,Mother Of Pearl,Leather,Blue,1154.0
watch_777,aniemin,Watch,Female,32.0,3.0,Small,Stainless Steel,Rose Gold,Silver,Leather,Beige,640.0
watch_778,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Black,Metal Bracelet,Silver,1669.0
watch_779,aniemin,Watch,Male,43.0,5.0,Large,Stainless Steel,Silver,Black,Leather,Black,909.0
watch_780,silfoli,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,White,Leather,Brown,400.0
watch_781,seldile,Watch,Male,47.0,5.0,X-Large,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,769.0
watch_782,seldile,Watch,Male,47.0,5.0,X-Large,Stainless Steel,Silver,Grey,Leather,Brown,538.0
watch_783,seldile,Watch,Male,46.0,5.0,Large,Stainless Steel,Black,Black,Leather,Brown,1299.0
watch_784,seldile,Watch,Male,46.0,10.0,Large,Stainless Steel,Silver,Blue,Leather,Brown,470.0
watch_785,seldile,Watch,Male,51.0,5.0,X-Large,Stainless Steel,Black,Black,Metal Bracelet,Black,1149.0
watch_786,seldile,Watch,Male,47.0,10.0,X-Large,Stainless Steel,Black,Black,Metal Bracelet,Black,640.0
watch_787,seldile,Watch,Male,50.0,5.0,X-Large,Stainless Steel,Black,Black,Metal Bracelet,Black,1499.0
watch_788,seldile,Watch,Male,52.0,10.0,X-Large,Stainless Steel,Black,Black,Metal Bracelet,Black,1149.0
watch_789,seldile,Watch,Male,50.0,5.0,X-Large,Stainless Steel,Black,Black,Leather,Brown,580.0
watch_790,seldile,Watch,Male,50.0,5.0,X-Large,Stainless Steel,Black,Black,Metal Bracelet,Black,1149.0
watch_791,seldile,Watch,Female,38.0,5.0,Medium,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,640.0
watch_792,seldile,Watch,Male,57.0,3.0,X-Large,Stainless Steel,Black,Black,Leather,Brown,640.0
watch_793,silfoli,Watch,Female,32.0,5.0,Small,Stainless Steel,Rose Gold,Black,Leather,Black,1369.0
watch_794,silfoli,Watch,Female,38.0,5.0,Medium,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,958.0
watch_795,silfoli,Watch,Female,26.0,5.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,1369.0
watch_796,silfoli,Watch,Female,30.0,5.0,Small,Stainless Steel,Silver,Rose Gold,Metal Bracelet,Two Tone,1369.0
watch_797,silfoli,Watch,Female,36.0,5.0,Medium,Stainless Steel,Rose Gold,White,Leather,Brown,398.0
watch_798,silfoli,Watch,Female,34.0,5.0,Small,Stainless Steel,Silver,Two Tone,Metal Bracelet,Two Tone,260.0
watch_799,silfoli,Watch,Female,36.0,3.0,Medium,Stainless Steel,Silver,White,Leather,Cream,260.0
watch_800,silfoli,Watch,Female,36.0,3.0,Medium,Stainless Steel,Rose Gold,Silver,Leather,Blue,398.0
watch_801,silfoli,Watch,Female,39.0,5.0,Medium,Stainless Steel,Blue,Blue,Metal Bracelet,Blue,310.0
watch_802,silfoli,Watch,Female,39.0,5.0,Medium,Stainless Steel,Red,Red,Metal Bracelet,Wine,349.0
watch_803,silfoli,Watch,Female,30.0,5.0,Small,Stainless Steel,Silver,Gold,Metal Bracelet,Silver,569.0
watch_804,silfoli,Watch,Female,36.0,3.0,Medium,Stainless Steel,Rose Gold,White,Leather,Pink,330.0
watch_805,silfoli,Watch,Female,34.0,3.0,Small,Stainless Steel,Rose Gold,Blue,Leather,Brown,449.0
watch_806,silfoli,Watch,Female,36.0,3.0,Medium,Stainless Steel,Rose Gold,Rose Gold,Leather,Beige,330.0
watch_807,silfoli,Watch,Female,34.0,3.0,Small,Stainless Steel,Rose Gold,Blue,Metal Bracelet,Blue,599.0
watch_808,silfoli,Watch,Female,38.0,5.0,Medium,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,538.0
watch_809,silfoli,Watch,Male,44.0,5.0,Large,Stainless Steel,Rose Gold,Blue,Leather,Blue,310.0
watch_810,silfoli,Watch,Male,44.0,5.0,Large,Stainless Steel,Black,Black,Leather,Brown,310.0
watch_811,silfoli,Watch,Male,44.0,5.0,Large,Stainless Steel,Black,Black,Metal Bracelet,Black,290.0
watch_812,silfoli,Watch,Male,42.0,5.0,Medium,Stainless Steel,Brown,Brown,Metal Bracelet,Brown,240.0
watch_813,silfoli,Watch,Male,44.0,5.0,Large,Stainless Steel,Silver,blue,Metal Bracelet,Silver,419.0
watch_814,silfoli,Watch,Male,44.0,5.0,Large,Stainless Steel,Silver,Blue,Leather,Brown,310.0
watch_815,silfoli,Watch,Male,44.0,5.0,Large,Stainless Steel,Gold,Black,Leather,Black,310.0
watch_816,silfoli,Watch,Male,42.0,5.0,Medium,Stainless Steel,Silver,Black,Metal Bracelet,Silver,468.0
watch_817,silfoli,Watch,Female,38.0,3.0,Medium,Stainless Steel,Silver,White,Metal Bracelet,Silver,240.0
watch_818,silfoli,Watch,Female,38.0,3.0,Medium,Stainless Steel,Rose Gold,White,Metal Bracelet,Rose Gold,538.0
watch_819,silfoli,Smartwatch,Male,46.0,5.0,Large,Stainless Steel,Blue,LCD,Leather,Brown,569.0
watch_820,silfoli,Smartwatch,Male,42.0,5.0,Medium,Stainless Steel,Rose Gold,Black,Metal Bracelet,Rose Gold,599.0
watch_821,silfoli,Smartwatch,Female,42.0,5.0,Medium,Stainless Steel,Rose Gold,Black,Leather,Brown,419.0
watch_822,silfoli,Smartwatch,Female,42.0,5.0,Medium,Stainless Steel,Rose Gold,Black,Metal Bracelet,Rose Gold,699.0
watch_823,silfoli,Watch,Male,50.0,5.0,X-Large,Stainless Steel,Black,Black,Metal Bracelet,Black,769.0
watch_824,silfoli,Watch,Male,44.0,5.0,Large,Stainless Steel,Silver,Black,Leather,Brown,769.0
watch_825,silfoli,Watch,Male,44.0,5.0,Large,Stainless Steel,Black,Clear,Leather,Brown,899.0
watch_826,orsmisr,Watch,Female,28.0,5.0,Small,Stainless Steel,Rose Gold,Rose Gold,Leather,Rose Gold,979.0
watch_827,orsmisr,Watch,Female,33.0,5.0,Small,Stainless Steel,Rose Gold,White,Leather,Red,510.0
watch_828,orsmisr,Watch,Female,36.5,5.0,Medium,Stainless Steel,Rose Gold,White,Leather,Red,1369.0
