SKU,Brand,Category,Gender,Diameter,Atm,Case_Size,Case_Material,Case_Color,Dial_Color,Strap_Material,Strap_Color,Regular_Price
watch_420,orsmisr,Watch,Female,33.0,5.0,Small,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,769.0
watch_421,orsmisr,Watch,Female,33.0,10.0,Small,Stainless Steel,Rose Gold,Rose Gold,Acetate,Rose Gold,600.0
watch_422,orsmisr,Watch,Female,33.0,5.0,Small,Stainless Steel,Rose Gold,Rose Gold,Acetate,Two Tone,1199.0
watch_423,orsmisr,Watch,Female,39.0,5.0,Medium,Stainless Steel,Silver,Blue,Metal Bracelet,Two Tone,999.0
watch_424,orsmisr,Watch,Female,37.0,5.0,Medium,Stainless Steel,Rose Gold,White,Acetate,Multicolor,1299.0
watch_425,orsmisr,Watch,Female,39.0,10.0,Medium,Stainless Steel,Brown,Brown,Metal Bracelet,Brown,1154.0
watch_426,eeltwle,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Black,Leather,Brown,1583.0
watch_427,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Silver,Black,Leather,Brown,1068.0
watch_428,eeltwle,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Cream,Leather,Brown,1497.0
watch_429,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Silver,Cream,Leather,Brown,1926.0
watch_430,eeltwle,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Cream,Leather,Brown,1583.0
watch_431,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Silver,Cream,Leather,Brown,1497.0
watch_432,eeltwle,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Black,Leather,Brown,1197.0
watch_433,eeltwle,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Black,Leather,Brown,1068.0
watch_434,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Black,Black,Leather,Brown,1197.0
watch_435,eeltwle,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Black,Leather,Brown,1926.0
watch_436,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Black,Black,Leather,Brown,1583.0
watch_437,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Silver,Black,Leather,Brown,1497.0
watch_438,eeltwle,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Cream,Leather,Brown,1197.0
watch_439,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Black,Cream,Leather,Brown,1068.0
watch_440,eeltwle,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Cream,Leather,Brown,1583.0
watch_441,eeltwle,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Black,Cream,Leather,Brown,1068.0
watch_442,knydkyn,Watch,Female,24.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,2956.0
watch_443,knydkyn,Watch,Female,20.0,3.0,Small,Stainless Steel,Gold,Silver,Metal Bracelet,Two Tone,845.0
watch_444,knydkyn,Watch,Female,20.0,3.0,Small,Stainless Steel,Silver,White,Metal Bracelet,Silver,669.0
watch_445,knydkyn,Watch,Female,36.0,5.0,Medium,Stainless Steel,Black,Black,Metal Bracelet,Black,2784.0
watch_446,knydkyn,Watch,Female,28.0,3.0,Small,Stainless Steel,Silver,White,Metal Bracelet,Silver,2784.0
watch_447,knydkyn,Watch,Female,36.0,5.0,Medium,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,2698.0
watch_448,knydkyn,Watch,Female,24.0,5.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,2570.0
watch_449,knydkyn,Watch,Female,24.0,5.0,Small,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,2698.0
watch_450,knydkyn,Watch,Female,24.0,5.0,Small,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,2570.0
watch_451,knydkyn,Watch,Female,34.0,5.0,Small,Stainless Steel,Silver,White,Metal Bracelet,Silver,2698.0
watch_452,knydkyn,Watch,Female,34.0,5.0,Small,Stainless Steel,Gold,White,Metal Bracelet,Gold,2570.0
